1,0,4,1,0,4,1,0,4,1,0,4,5,1,0,4
612,48,612,48,612,48,612,48,612,48,612,0,612,48,612,1
612,48,612,48,612,48,612,48,612,48,0,0,0,612,48,48
68,4,1,5,68,4,1,5,68,4,1,5,68,4,1,5
68,4,1,5,68,4,1,5,68,4,1,5,68,4,1,4
1,5,5,1,1,4,4,1,5,1,68,4,4,1,5,5
68,68,4,4,1,5,68,4,1,5,68,4,1,5,68,4
5,68,4,1,5,68,4,1,5,68,4,1,4,1,5,5
39,39,09,6,39,09,39,09,39,39,6,09,6,6,39,09
3107,18,487,413,3107,18,487,413,3107,18,487,413,3107,18,487,413
3107,18,487,413,3107,18,487,413,3107,287,6,487,3107,287,6,487
0,3,0,0,0,58,1,3,38,3,3,0,58,48,3,0
18,3,58,4,18,3,58,4,18,3,58,4,18,3,58,4
38,212,38,212,38,512,61287,08,38,08,38,5,38,212,38,212
4107,287,587,17,4107,287,587,17,4107,287,587,17,4107,287,587,17
0,18,28,18,0,18,28,0,4,0,18,28,4,3,3,28
3,28,3,19,19,18,4,0,18,28,0,18,28,4,0,18
28,4,0,4,0,18,28,4,3,28,3,28,3,28,19,18
4,0,18,28,0,18,28,4,0,18,28,4,0,4,0,18
28,5,398,6,28,5,398,6,28,5,398,6,28,5,398,6
28,5,398,6,28,5,6,0,1,28,28,5,6,0,1,28
5,398,6,28,5,398,6,28,5,398,6,28,5,398,6,28
08,48,49,48,49,59,19,08,48,19,48,08,48,49,59,49
19,38,09,598,598,09,19,49,19,38,09,598,19,49,19,38
09,598,09,598,19,49,08,48,08,48,49,59,49,19,38,09
4,1,3,0,08,4,57,17,4,4,1,3,0,08,4,57
17,4,0,4,67,0,4,0,4,57,17,4,1,3,0,08
4,57,17,4,4,1,3,0,08,4,57,17,4,0,4,67
0,4,0,4,57,17,0,1,4,1,3,0,08,4,57,17
29,5,387,5,39,26,29,5,2,5,5,3987,3987,26,29,5
3987,097,3987,67,1107,187,187,1107,187,5,3987,097,3987,67,1107,187
6,28,0,6,28,0,6,28,0,6,28,0,6,28,58,1
4,28,58,1,4,28,58,1,4,28,58,1,4,28,58,1
18,47,0,0,18,47,0,0,18,47,0,18,47,0,18,47
0,18,47,0,18,47,0,18,47,0,18,47,0,18,47,0
0,0,18,18,0,0,18,18,0,0,18,18,28,18,28,3
4,0,18,0,47,0,0,18,18,0,0,18,18,28,18,28
3,4,0,18,0,47,0,0,18,18,0,0,18,18,387,387
0,0,387,387,18,47,0,0,18,18,0,0,18,18,28,18
58,27,4,1,3,0,18,2,58,27,4,1,3,0,18,2
3,0,27,58,3,0,18,2,58,27,4,1,3,0,18,2
68,5,28,4,68,5,28,4,68,5,28,4,68,5,28,4
68,5,28,4,68,5,28,4,1,5,4,1,5,4,1,5
28,68,1,5,4,1,5,4,1,5,4,1,5,28,68,1
5,4,68,5,28,4,68,5,28,4,68,5,28,4,68,5
28,4,68,5,28,4,68,5,28,4,1,5,4,1,5,4
1,5,28,68,1,5,4,1,5,4,1,5,4,1,5,28
68,1,5,4,28,68,28,68,5,28,68,4,5,4,1,5
4,1,5,4,1,5,28,68,1,5,4,1,5,4,1,5
4,1,5,28,68,1,5,4,1,5,4,1,5,4,68,5
4,1,5,4,68,5,28,4,68,5,28,4,68,5,28,4
2,6,5128,39,2,6,5128,39,5128,6,39,41214,5128,6,39,41214
18,18,18,3,3,3,287,287,287,5,5,57,18,18,18,3
3,287,287,287,5,5,57,18,287,3,18,287,58,4,287,18
18,3,3,287,287,5,5,18,18,3,3,287,287,58,4,3
287,18,18,18,3,3,287,287,5,5,58,18,18,18,3,3
287,287,287,5,5,57,18,287,3,18,287,58,4,287,18,18
3,3,287,287,5,5,18,18,3,3,287,287,58,4,3,287
3,287,5,5,3,18,287,0,3,27,2,3,4,587,58,18
18,287,58,4,287,18,18,3,3,287,287,5,5,18,18,3
1,287,4,5,1,28,4,5,1,287,4,5,1,287,4,5
1,287,4,5,1,287,4,5,1,287,4,5,28,5,287,1
4,1,287,4,5,1,287,4,5,1,287,4,5,1,287,4
5,287,5,287,1,4,1,287,4,5,1,287,4,5,287,4
5,287,4,1,287,4,5,1,287,4,5,1,287,4,5,287
5,287,1,4,1,287,4,5,1,287,4,5,1,287,5,1
3,4,58,3,0,47,0,47,0,28,58,3,0,4,3,4
58,3,0,47,0,0,28,58,3,0,4,3,4,58,3,0
47,0,28,67,28,67,28,67,28,57,18,47,0,28,58,3
0,4,3,4,58,3,0,47,0,28,67,28,67,28,67,28
57,18,47,0,28,58,3,0,4,3,4,58,3,0,47,0
3,3107,0,3,3107,3,3107,48,48,487,48,487,48,0,3,58
17,58,17,58,17,58,17,48,487,48,3,48,0,5,3,3107
3,07,3,58,17,58,17,58,17,58,17,48,487,48,3,48
4107,287,5107,17,4107,287,5107,17,687,27,5107,17,4107,287,5107,17
4107,287,5107,17,4107,287,5107,17,4107,287,5107,17,687,27,5107,17
4107,287,5107,17,4107,287,5107,17,59107,6137,087,37,1107,613,087,37
1107,47114,087,37,59107,6137,5107,17,4107,287,5107,17,687,27,5107,17
6,39,498,2,6,39,498,2,6,39,498,2,6,39,498,2
6,39,498,2,28,6,39,498,2,6,39,498,2,6,39,498
2,6,39,498,2,6,39,498,2,6,39,498,2,6,39,498
58,4,28,3,58,4,28,3,58,4,28,3,58,4,28,3
28,28,58,28,58,28,58,28,0,28,0,28,0,28,0,67
28,58,28,4,28,58,28,58,68,4,687,28,58,4,687,28
58,28,4,28,58,28,58,68,4,687,28,58,4,687,28,58
58,0,1,587,17,587,17,587,17,587,17,587,3107,28,58,0
1,587,17,187,58,0,1,587,17,37,17,3,4,587,17,587
17,587,17,587,17,587,3107,28,58,0,1,587,17,187,58,0
1,587,17,37,17,3,4,587,17,3109,4,587,0,4,28,3107
27114,27,17,587,17,587,17,587,17,587,3107,28,58,0,1,587
1107,46,1107,46,1107,46,46,28,398,4,398,28,398,4,5,1107
46,1107,46,1107,46,1107,46,1107,46,1107,46,46,28,398,4,398
28,398,4,5,4,1,1,5,5,4,1,1,5,5,4,4
1,1,5,5,28,398,4,398,28,398,4,5,4,1,5,4
1,5,28,398,4,398,28,398,4,5,1107,46,1107,46,1107,46
58,3,4,58,58,3,4,58,58,3,4,58,58,3,4,58
3,0,4,3,4,3,0,4,3,4,58,58,3,4,58,58
3,4,58,3,0,4,3,4,3,0,4,3,4,58,58,
4,58,58,3,4,58,3,0,4,3,4,3,0,4,3,4
